"TIME","GEO","CITIZEN","UNIT","Value"
"2004","Finland","Total","Person","3,575"
"2004","Sweden","Total","Person","23,160"
"2004","United Kingdom","Total","Person","40,625"
"2004","Norway","Total","Person","7,950"
"2004","Switzerland","Total","Person","13,475"
"2005","Belgium","Total","Person","12,575"
"2005","Bulgaria","Total","Person","700"
"2005","Czech Republic","Total","Person","3,590"
"2005","Denmark","Total","Person","2,280"
"2005","Germany (until 1990 former territory of the FRG)","Total","Person","28,915"
"2005","Estonia","Total","Person","10"
"2005","Ireland","Total","Person","4,305"
"2005","Greece","Total","Person","9,050"
"2005","Spain","Total","Person","5,050"
"2005","France","Total","Person","49,735"
"2005","Italy","Total","Person","9,345"
"2005","Cyprus","Total","Person","7,715"
"2005","Latvia","Total","Person","20"
"2005","Lithuania","Total","Person","100"
"2005","Luxembourg","Total","Person","800"
"2005","Hungary","Total","Person","1,610"
"2005","Malta","Total","Person","1,165"
"2005","Netherlands","Total","Person","12,345"
"2005","Austria","Total","Person","22,460"
"2005","Poland","Total","Person","5,240"
"2005","Portugal","Total","Person","115"
"2005","Romania","Total","Person","485"
"2005","Slovenia","Total","Person","1,550"
"2005","Slovakia","Total","Person","3,550"
"2005","Finland","Total","Person","3,595"
"2005","Sweden","Total","Person","17,530"
"2005","United Kingdom","Total","Person","30,840"
"2005","Norway","Total","Person","5,400"
"2005","Switzerland","Total","Person","9,350"
"2006","Belgium","Total","Person","8,870"
"2006","Bulgaria","Total","Person","500"
"2006","Czech Republic","Total","Person","2,730"
"2006","Denmark","Total","Person","1,960"
"2006","Germany (until 1990 former territory of the FRG)","Total","Person","21,030"
"2006","Estonia","Total","Person","5"
"2006","Ireland","Total","Person","4,240"
"2006","Greece","Total","Person","12,265"
"2006","Spain","Total","Person","5,295"
"2006","France","Total","Person","30,750"
"2006","Italy","Total","Person","10,350"
"2006","Cyprus","Total","Person","4,540"
"2006","Latvia","Total","Person","10"
"2006","Lithuania","Total","Person","145"
"2006","Luxembourg","Total","Person","525"
"2006","Hungary","Total","Person","2,115"
"2006","Malta","Total","Person","1,270"
"2006","Netherlands","Total","Person","14,465"
"2006","Austria","Total","Person","13,350"
"2006","Poland","Total","Person","4,225"
"2006","Portugal","Total","Person","130"
"2006","Romania","Total","Person","380"
"2006","Slovenia","Total","Person","500"
"2006","Slovakia","Total","Person","2,850"
"2006","Finland","Total","Person","2,275"
"2006","Sweden","Total","Person","24,320"
"2006","United Kingdom","Total","Person","28,320"
"2006","Norway","Total","Person","5,320"
"2006","Switzerland","Total","Person","9,315"
"2007","Belgium","Total","Person","11,575"
"2007","Bulgaria","Total","Person","815"
"2007","Czech Republic","Total","Person","1,585"
"2007","Denmark","Total","Person","2,225"
"2007","Germany (until 1990 former territory of the FRG)","Total","Person","19,165"
"2007","Estonia","Total","Person","15"
"2007","Ireland","Total","Person","3,935"
"2007","Greece","Total","Person","25,115"
"2007","Spain","Total","Person","7,195"
"2007","France","Total","Person","29,160"
"2007","Italy","Total","Person","14,055"
