"TIME","GEO","CITIZEN","SEX","AGE","ASYL_APP","UNIT","Value"
"2015","Denmark","Total","Total","Total","First time applicant","Person","20,855"
"2015","Germany (until 1990 former territory of the FRG)","Total","Total","Total","First time applicant","Person","441,900"
"2015","Estonia","Total","Total","Total","First time applicant","Person","225"
"2015","Ireland","Total","Total","Total","First time applicant","Person","3,270"
"2015","Greece","Total","Total","Total","First time applicant","Person","11,370"
"2015","Spain","Total","Total","Total","First time applicant","Person","14,610"
"2015","France","Total","Total","Total","First time applicant","Person","70,570"
"2015","Italy","Total","Total","Total","First time applicant","Person","83,245"
"2015","Cyprus","Total","Total","Total","First time applicant","Person","2,105"
"2015","Latvia","Total","Total","Total","First time applicant","Person","330"
"2015","Lithuania","Total","Total","Total","First time applicant","Person","275"
"2015","Luxembourg","Total","Total","Total","First time applicant","Person","2,360"
"2015","Hungary","Total","Total","Total","First time applicant","Person","174,435"
"2015","Malta","Total","Total","Total","First time applicant","Person","1,695"
"2015","Netherlands","Total","Total","Total","First time applicant","Person","43,035"
"2015","Austria","Total","Total","Total","First time applicant","Person","85,520"
"2015","Poland","Total","Total","Total","First time applicant","Person","10,255"
"2015","Portugal","Total","Total","Total","First time applicant","Person","870"
"2015","Romania","Total","Total","Total","First time applicant","Person","1,225"
"2015","Slovenia","Total","Total","Total","First time applicant","Person","260"
"2015","Slovakia","Total","Total","Total","First time applicant","Person","270"
"2015","Finland","Total","Total","Total","First time applicant","Person","32,150"
"2015","Sweden","Total","Total","Total","First time applicant","Person","156,195"
"2015","United Kingdom","Total","Total","Total","First time applicant","Person","39,970"
"2015","Norway","Total","Total","Total","First time applicant","Person","30,505"
"2015","Switzerland","Total","Total","Total","First time applicant","Person","38,120"
"2016","Belgium","Total","Total","Total","First time applicant","Person","14,290"
"2016","Bulgaria","Total","Total","Total","First time applicant","Person","18,990"
"2016","Czech Republic","Total","Total","Total","First time applicant","Person","1,205"
"2016","Denmark","Total","Total","Total","First time applicant","Person","6,070"
"2016","Germany (until 1990 former territory of the FRG)","Total","Total","Total","First time applicant","Person","722,365"
"2016","Estonia","Total","Total","Total","First time applicant","Person","150"
"2016","Ireland","Total","Total","Total","First time applicant","Person","2,315"
"2016","Greece","Total","Total","Total","First time applicant","Person","49,875"
"2016","Spain","Total","Total","Total","First time applicant","Person","15,570"
"2016","France","Total","Total","Total","First time applicant","Person","76,790"
"2016","Italy","Total","Total","Total","First time applicant","Person","121,185"
"2016","Cyprus","Total","Total","Total","First time applicant","Person","2,840"
"2016","Latvia","Total","Total","Total","First time applicant","Person","345"
"2016","Lithuania","Total","Total","Total","First time applicant","Person","415"
"2016","Luxembourg","Total","Total","Total","First time applicant","Person","2,065"
"2016","Hungary","Total","Total","Total","First time applicant","Person","28,215"
"2016","Malta","Total","Total","Total","First time applicant","Person","1,735"
"2016","Netherlands","Total","Total","Total","First time applicant","Person","19,285"
"2016","Austria","Total","Total","Total","First time applicant","Person","39,905"
"2016","Poland","Total","Total","Total","First time applicant","Person","9,785"
"2016","Portugal","Total","Total","Total","First time applicant","Person","710"
"2016","Romania","Total","Total","Total","First time applicant","Person","1,855"
"2016","Slovenia","Total","Total","Total","First time applicant","Person","1,265"
"2016","Slovakia","Total","Total","Total","First time applicant","Person","100"
"2016","Finland","Total","Total","Total","First time applicant","Person","5,295"
"2016","Sweden","Total","Total","Total","First time applicant","Person","22,385"
"2016","United Kingdom","Total","Total","Total","First time applicant","Person","39,355"
"2016","Norway","Total","Total","Total","First time applicant","Person","3,275"
"2016","Switzerland","Total","Total","Total","First time applicant","Person","25,875"
