"TIME","GEO","CITIZEN","SEX","AGE","DECISION","UNIT","Value"
"2009Q2","Ireland","Total","Total","Total","Geneva Convention status","Person","25"
"2009Q2","Greece","Total","Total","Total","Geneva Convention status","Person","10"
"2009Q2","Spain","Total","Total","Total","Geneva Convention status","Person","50"
"2009Q2","France","Total","Total","Total","Geneva Convention status","Person","935"
"2009Q2","Italy","Total","Total","Total","Geneva Convention status","Person","505"
"2009Q2","Cyprus","Total","Total","Total","Geneva Convention status","Person","10"
"2009Q2","Latvia","Total","Total","Total","Geneva Convention status","Person","0"
"2009Q2","Lithuania","Total","Total","Total","Geneva Convention status","Person","0"
"2009Q2","Luxembourg","Total","Total","Total","Geneva Convention status","Person","15"
"2009Q2","Hungary","Total","Total","Total","Geneva Convention status","Person","80"
"2009Q2","Malta","Total","Total","Total","Geneva Convention status","Person","15"
"2009Q2","Netherlands","Total","Total","Total","Geneva Convention status","Person","160"
"2009Q2","Austria","Total","Total","Total","Geneva Convention status","Person","450"
"2009Q2","Poland","Total","Total","Total","Geneva Convention status","Person","30"
"2009Q2","Portugal","Total","Total","Total","Geneva Convention status","Person","0"
"2009Q2","Romania","Total","Total","Total","Geneva Convention status","Person","10"
"2009Q2","Slovenia","Total","Total","Total","Geneva Convention status","Person","0"
"2009Q2","Slovakia","Total","Total","Total","Geneva Convention status","Person","5"
"2009Q2","Finland","Total","Total","Total","Geneva Convention status","Person","15"
"2009Q2","Sweden","Total","Total","Total","Geneva Convention status","Person","390"
"2009Q2","United Kingdom","Total","Total","Total","Geneva Convention status","Person","1,355"
"2009Q2","Norway","Total","Total","Total","Geneva Convention status","Person","515"
"2009Q3","Belgium","Total","Total","Total","Geneva Convention status","Person","550"
"2009Q3","Bulgaria","Total","Total","Total","Geneva Convention status","Person","5"
"2009Q3","Czech Republic","Total","Total","Total","Geneva Convention status","Person","10"
"2009Q3","Denmark","Total","Total","Total","Geneva Convention status","Person","85"
"2009Q3","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Geneva Convention status","Person","2,170"
"2009Q3","Estonia","Total","Total","Total","Geneva Convention status","Person","0"
"2009Q3","Ireland","Total","Total","Total","Geneva Convention status","Person","15"
"2009Q3","Greece","Total","Total","Total","Geneva Convention status","Person","10"
"2009Q3","Spain","Total","Total","Total","Geneva Convention status","Person","45"
"2009Q3","France","Total","Total","Total","Geneva Convention status","Person","920"
"2009Q3","Italy","Total","Total","Total","Geneva Convention status","Person","400"
"2009Q3","Cyprus","Total","Total","Total","Geneva Convention status","Person","15"
"2009Q3","Latvia","Total","Total","Total","Geneva Convention status","Person","0"
"2009Q3","Lithuania","Total","Total","Total","Geneva Convention status","Person","0"
"2009Q3","Luxembourg","Total","Total","Total","Geneva Convention status","Person","20"
"2009Q3","Hungary","Total","Total","Total","Geneva Convention status","Person","25"
"2009Q3","Malta","Total","Total","Total","Geneva Convention status","Person","0"
"2009Q3","Netherlands","Total","Total","Total","Geneva Convention status","Person","250"
"2009Q3","Austria","Total","Total","Total","Geneva Convention status","Person","500"
"2009Q3","Poland","Total","Total","Total","Geneva Convention status","Person","25"
"2009Q3","Portugal","Total","Total","Total","Geneva Convention status","Person","0"
"2009Q3","Romania","Total","Total","Total","Geneva Convention status","Person","10"
"2009Q3","Slovenia","Total","Total","Total","Geneva Convention status","Person","0"
"2009Q3","Slovakia","Total","Total","Total","Geneva Convention status","Person","0"
"2009Q3","Finland","Total","Total","Total","Geneva Convention status","Person","25"
"2009Q3","Sweden","Total","Total","Total","Geneva Convention status","Person","255"
"2009Q3","United Kingdom","Total","Total","Total","Geneva Convention status","Person","1,155"
"2009Q3","Norway","Total","Total","Total","Geneva Convention status","Person","355"
"2009Q4","Belgium","Total","Total","Total","Geneva Convention status","Person","680"
"2009Q4","Bulgaria","Total","Total","Total","Geneva Convention status","Person","15"
"2009Q4","Czech Republic","Total","Total","Total","Geneva Convention status","Person","10"
"2009Q4","Denmark","Total","Total","Total","Geneva Convention status","Person","200"
"2009Q4","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Geneva Convention status","Person","1,605"
"2009Q4","Estonia","Total","Total","Total","Geneva Convention status","Person","0"
"2009Q4","Ireland","Total","Total","Total","Geneva Convention status","Person","25"
"2009Q4","Greece","Total","Total","Total","Geneva Convention status","Person","5"
"2009Q4","Spain","Total","Total","Total","Geneva Convention status","Person","45"
"2009Q4","France","Total","Total","Total","Geneva Convention status","Person","1,030"
