"TIME","GEO","DECISION","CITIZEN","UNIT","Value"
"2002M09","Hungary","Rejected","Total","Person","195"
"2002M09","Malta","Rejected","Total","Person","5"
"2002M09","Netherlands","Rejected","Total","Person","2,145"
"2002M09","Austria","Rejected","Total","Person","335"
"2002M09","Poland","Rejected","Total","Person","335"
"2002M09","Portugal","Rejected","Total","Person","10"
"2002M09","Romania","Rejected","Total","Person",":"
"2002M09","Slovenia","Rejected","Total","Person","10"
"2002M09","Slovakia","Rejected","Total","Person",":"
"2002M09","Finland","Rejected","Total","Person","175"
"2002M09","Sweden","Rejected","Total","Person","1,785"
"2002M09","United Kingdom","Rejected","Total","Person","4,935"
"2002M09","Norway","Rejected","Total","Person",":"
"2002M10","Belgium","Rejected","Total","Person",":"
"2002M10","Bulgaria","Rejected","Total","Person","5"
"2002M10","Czech Republic","Rejected","Total","Person","515"
"2002M10","Denmark","Rejected","Total","Person",":"
"2002M10","Germany (until 1990 former territory of the FRG)","Rejected","Total","Person","6,480"
"2002M10","Estonia","Rejected","Total","Person","0"
"2002M10","Ireland","Rejected","Total","Person",":"
"2002M10","Greece","Rejected","Total","Person","2,915"
"2002M10","Spain","Rejected","Total","Person","500"
"2002M10","France","Rejected","Total","Person","4,245"
"2002M10","Italy","Rejected","Total","Person",":"
"2002M10","Cyprus","Rejected","Total","Person",":"
"2002M10","Latvia","Rejected","Total","Person","15"
"2002M10","Lithuania","Rejected","Total","Person","10"
"2002M10","Luxembourg","Rejected","Total","Person",":"
"2002M10","Hungary","Rejected","Total","Person","250"
"2002M10","Malta","Rejected","Total","Person","35"
"2002M10","Netherlands","Rejected","Total","Person","2,200"
"2002M10","Austria","Rejected","Total","Person","600"
"2002M10","Poland","Rejected","Total","Person","450"
"2002M10","Portugal","Rejected","Total","Person","10"
"2002M10","Romania","Rejected","Total","Person",":"
"2002M10","Slovenia","Rejected","Total","Person","5"
"2002M10","Slovakia","Rejected","Total","Person",":"
"2002M10","Finland","Rejected","Total","Person","355"
"2002M10","Sweden","Rejected","Total","Person","1,830"
"2002M10","United Kingdom","Rejected","Total","Person","5,370"
"2002M10","Norway","Rejected","Total","Person",":"
"2002M11","Belgium","Rejected","Total","Person",":"
"2002M11","Bulgaria","Rejected","Total","Person","115"
"2002M11","Czech Republic","Rejected","Total","Person","555"
"2002M11","Denmark","Rejected","Total","Person",":"
"2002M11","Germany (until 1990 former territory of the FRG)","Rejected","Total","Person","6,440"
"2002M11","Estonia","Rejected","Total","Person","0"
"2002M11","Ireland","Rejected","Total","Person",":"
"2002M11","Greece","Rejected","Total","Person","1,000"
"2002M11","Spain","Rejected","Total","Person","400"
"2002M11","France","Rejected","Total","Person","3,670"
"2002M11","Italy","Rejected","Total","Person",":"
"2002M11","Cyprus","Rejected","Total","Person",":"
"2002M11","Latvia","Rejected","Total","Person","5"
"2002M11","Lithuania","Rejected","Total","Person","5"
"2002M11","Luxembourg","Rejected","Total","Person",":"
"2002M11","Hungary","Rejected","Total","Person","200"
"2002M11","Malta","Rejected","Total","Person","25"
"2002M11","Netherlands","Rejected","Total","Person","1,750"
"2002M11","Austria","Rejected","Total","Person","490"
"2002M11","Poland","Rejected","Total","Person","460"
"2002M11","Portugal","Rejected","Total","Person","10"
"2002M11","Romania","Rejected","Total","Person",":"
"2002M11","Slovenia","Rejected","Total","Person","0"
"2002M11","Slovakia","Rejected","Total","Person",":"
"2002M11","Finland","Rejected","Total","Person","205"
"2002M11","Sweden","Rejected","Total","Person","1,815"
"2002M11","United Kingdom","Rejected","Total","Person","4,580"
"2002M11","Norway","Rejected","Total","Person",":"
"2002M12","Belgium","Rejected","Total","Person",":"
"2002M12","Bulgaria","Rejected","Total","Person","55"
"2002M12","Czech Republic","Rejected","Total","Person","385"
"2002M12","Denmark","Rejected","Total","Person",":"
"2002M12","Germany (until 1990 former territory of the FRG)","Rejected","Total","Person","4,925"
