"TIME","GEO","DECISION","CITIZEN","UNIT","Value"
"2002M06","Belgium","Geneva Convention status","Total","Person",":"
"2002M06","Bulgaria","Geneva Convention status","Total","Person","5"
"2002M06","Czech Republic","Geneva Convention status","Total","Person","5"
"2002M06","Denmark","Geneva Convention status","Total","Person",":"
"2002M06","Germany (until 1990 former territory of the FRG)","Geneva Convention status","Total","Person","725"
"2002M06","Estonia","Geneva Convention status","Total","Person","0"
"2002M06","Ireland","Geneva Convention status","Total","Person",":"
"2002M06","Greece","Geneva Convention status","Total","Person","0"
"2002M06","Spain","Geneva Convention status","Total","Person","15"
"2002M06","France","Geneva Convention status","Total","Person","550"
"2002M06","Italy","Geneva Convention status","Total","Person",":"
"2002M06","Cyprus","Geneva Convention status","Total","Person",":"
"2002M06","Latvia","Geneva Convention status","Total","Person","0"
"2002M06","Lithuania","Geneva Convention status","Total","Person","0"
"2002M06","Luxembourg","Geneva Convention status","Total","Person",":"
"2002M06","Hungary","Geneva Convention status","Total","Person","5"
"2002M06","Malta","Geneva Convention status","Total","Person",":"
"2002M06","Netherlands","Geneva Convention status","Total","Person","15"
"2002M06","Austria","Geneva Convention status","Total","Person","85"
"2002M06","Poland","Geneva Convention status","Total","Person","20"
"2002M06","Portugal","Geneva Convention status","Total","Person","0"
"2002M06","Romania","Geneva Convention status","Total","Person",":"
"2002M06","Slovenia","Geneva Convention status","Total","Person","0"
"2002M06","Slovakia","Geneva Convention status","Total","Person",":"
"2002M06","Finland","Geneva Convention status","Total","Person","0"
"2002M06","Sweden","Geneva Convention status","Total","Person","20"
"2002M06","United Kingdom","Geneva Convention status","Total","Person","520"
"2002M06","Norway","Geneva Convention status","Total","Person",":"
"2002M07","Belgium","Geneva Convention status","Total","Person",":"
"2002M07","Bulgaria","Geneva Convention status","Total","Person","5"
"2002M07","Czech Republic","Geneva Convention status","Total","Person","5"
"2002M07","Denmark","Geneva Convention status","Total","Person",":"
"2002M07","Germany (until 1990 former territory of the FRG)","Geneva Convention status","Total","Person","315"
"2002M07","Estonia","Geneva Convention status","Total","Person","0"
"2002M07","Ireland","Geneva Convention status","Total","Person",":"
"2002M07","Greece","Geneva Convention status","Total","Person","5"
"2002M07","Spain","Geneva Convention status","Total","Person","15"
"2002M07","France","Geneva Convention status","Total","Person","540"
"2002M07","Italy","Geneva Convention status","Total","Person",":"
"2002M07","Cyprus","Geneva Convention status","Total","Person",":"
"2002M07","Latvia","Geneva Convention status","Total","Person","0"
"2002M07","Lithuania","Geneva Convention status","Total","Person","0"
"2002M07","Luxembourg","Geneva Convention status","Total","Person",":"
"2002M07","Hungary","Geneva Convention status","Total","Person","10"
"2002M07","Malta","Geneva Convention status","Total","Person","0"
"2002M07","Netherlands","Geneva Convention status","Total","Person","5"
"2002M07","Austria","Geneva Convention status","Total","Person","95"
"2002M07","Poland","Geneva Convention status","Total","Person","10"
"2002M07","Portugal","Geneva Convention status","Total","Person","5"
"2002M07","Romania","Geneva Convention status","Total","Person",":"
"2002M07","Slovenia","Geneva Convention status","Total","Person","0"
"2002M07","Slovakia","Geneva Convention status","Total","Person",":"
"2002M07","Finland","Geneva Convention status","Total","Person","0"
"2002M07","Sweden","Geneva Convention status","Total","Person","25"
"2002M07","United Kingdom","Geneva Convention status","Total","Person","720"
"2002M07","Norway","Geneva Convention status","Total","Person",":"
"2002M08","Belgium","Geneva Convention status","Total","Person",":"
"2002M08","Bulgaria","Geneva Convention status","Total","Person","10"
"2002M08","Czech Republic","Geneva Convention status","Total","Person","5"
"2002M08","Denmark","Geneva Convention status","Total","Person",":"
"2002M08","Germany (until 1990 former territory of the FRG)","Geneva Convention status","Total","Person","280"
"2002M08","Estonia","Geneva Convention status","Total","Person","0"
"2002M08","Ireland","Geneva Convention status","Total","Person",":"
"2002M08","Greece","Geneva Convention status","Total","Person",":"
"2002M08","Spain","Geneva Convention status","Total","Person","0"
"2002M08","France","Geneva Convention status","Total","Person","380"
"2002M08","Italy","Geneva Convention status","Total","Person",":"
"2002M08","Cyprus","Geneva Convention status","Total","Person",":"
"2002M08","Latvia","Geneva Convention status","Total","Person","0"
"2002M08","Lithuania","Geneva Convention status","Total","Person","0"
"2002M08","Luxembourg","Geneva Convention status","Total","Person",":"
"2002M08","Hungary","Geneva Convention status","Total","Person","10"
"2002M08","Malta","Geneva Convention status","Total","Person","0"
"2002M08","Netherlands","Geneva Convention status","Total","Person","20"
"2002M08","Austria","Geneva Convention status","Total","Person","70"
"2002M08","Poland","Geneva Convention status","Total","Person","10"
"2002M08","Portugal","Geneva Convention status","Total","Person","0"
"2002M08","Romania","Geneva Convention status","Total","Person",":"
"2002M08","Slovenia","Geneva Convention status","Total","Person","0"
"2002M08","Slovakia","Geneva Convention status","Total","Person",":"
"2002M08","Finland","Geneva Convention status","Total","Person","5"
"2002M08","Sweden","Geneva Convention status","Total","Person","10"
"2002M08","United Kingdom","Geneva Convention status","Total","Person","635"
"2002M08","Norway","Geneva Convention status","Total","Person",":"
"2002M09","Belgium","Geneva Convention status","Total","Person",":"
"2002M09","Bulgaria","Geneva Convention status","Total","Person","15"
"2002M09","Czech Republic","Geneva Convention status","Total","Person","5"
"2002M09","Denmark","Geneva Convention status","Total","Person",":"
"2002M09","Germany (until 1990 former territory of the FRG)","Geneva Convention status","Total","Person","390"
"2002M09","Estonia","Geneva Convention status","Total","Person","0"
"2002M09","Ireland","Geneva Convention status","Total","Person",":"
"2002M09","Greece","Geneva Convention status","Total","Person","0"
"2002M09","Spain","Geneva Convention status","Total","Person","15"
"2002M09","France","Geneva Convention status","Total","Person","395"
"2002M09","Italy","Geneva Convention status","Total","Person",":"
"2002M09","Cyprus","Geneva Convention status","Total","Person",":"
"2002M09","Latvia","Geneva Convention status","Total","Person","0"
"2002M09","Lithuania","Geneva Convention status","Total","Person","0"
"2002M09","Luxembourg","Geneva Convention status","Total","Person",":"
"2002M09","Hungary","Geneva Convention status","Total","Person","0"
"2002M09","Malta","Geneva Convention status","Total","Person","0"
"2002M09","Netherlands","Geneva Convention status","Total","Person","10"
"2002M09","Austria","Geneva Convention status","Total","Person","85"
"2002M09","Poland","Geneva Convention status","Total","Person","5"
"2002M09","Portugal","Geneva Convention status","Total","Person","0"
"2002M09","Romania","Geneva Convention status","Total","Person",":"
"2002M09","Slovenia","Geneva Convention status","Total","Person","0"
"2002M09","Slovakia","Geneva Convention status","Total","Person",":"
"2002M09","Finland","Geneva Convention status","Total","Person","0"
"2002M09","Sweden","Geneva Convention status","Total","Person","15"
"2002M09","United Kingdom","Geneva Convention status","Total","Person","725"
"2002M09","Norway","Geneva Convention status","Total","Person",":"
"2002M10","Belgium","Geneva Convention status","Total","Person",":"
"2002M10","Bulgaria","Geneva Convention status","Total","Person","0"
"2002M10","Czech Republic","Geneva Convention status","Total","Person","10"
"2002M10","Denmark","Geneva Convention status","Total","Person",":"
"2002M10","Germany (until 1990 former territory of the FRG)","Geneva Convention status","Total","Person","410"
"2002M10","Estonia","Geneva Convention status","Total","Person","0"
"2002M10","Ireland","Geneva Convention status","Total","Person",":"
"2002M10","Greece","Geneva Convention status","Total","Person","5"
"2002M10","Spain","Geneva Convention status","Total","Person","20"
"2002M10","France","Geneva Convention status","Total","Person","455"
"2002M10","Italy","Geneva Convention status","Total","Person",":"
"2002M10","Cyprus","Geneva Convention status","Total","Person",":"
"2002M10","Latvia","Geneva Convention status","Total","Person","0"
"2002M10","Lithuania","Geneva Convention status","Total","Person","0"
